Paper ID (LastNameFirstAuthor_Year_FirstWordTitle),Source,Behavior,Group,Physical Environment,Condition,Social Environment,Discussion/ what is relevant from this paper to our model? (ideally quantitave factors),Details (more qualitative description),Unnamed: 9,Unnamed: 10,Unnamed: 11
,,Increased violence,Large,LA,Extreme heat,Urban,,,,,
,,Mutiny,Small,Skylab,Space,Astronaut team,,,,,
Bishop_2009_FMARS,https://www2.hawaii.edu/~binsted/papers/FMARS2007_StressandcopinginanarcticMarssimulation.pdf,Gender differences in stress coping,Small,FMARS Crew 11,Space analog,7 personnel,"100 days, operated on ""sol"" time","Stress increased for males while decreasing for females. Males consistently used more avoidant coping while females utilized task coping and social emotional coping. Males also demonstrated higher levels of excitement, tiredness, and loneliness.",,,
Binsted_2010_Human,https://www.sciencedirect.com/science/article/abs/pii/S0032063310000747,Crew-ground communication and collaboration,Small,FMARS Crew 11,Space analog,7 personnel,,,,,
,https://en.wikipedia.org/wiki/MARS-500#cite_note-34,Sleep problems and circadian rythm problems,Small,Mars-500,Space analog,6 personnel,"An important focus of the Mars-500 research has been the early diagnosis of “adverse personal dynamics” which would affect cooperation among the crew, as well as the development of methods to overcome such issues. 3 experiments of 14, 105 and 520 days each; only one woman in the first experiment, to remove sexual tensions.","Researchers decided that any sort of psychological support on future missions would need to be tailored to each individual crew member, not just to the group as a whole or to subgroups belonging to different space agencies. Mars-500 also found that most psychological issues were exacerbated by isolation and a lack of stimulus, emphasizing the need to prevent sensory deprivation and boredom.","No interpersonal conflicts were noted, nor were any situations that would require interrupting or delaying any aspect of the project.[34] The difficulties encountered during the performance of some complicated activities were overcome by the crew together. Cultural differences and language difficulties did not bear any significant influence. Friendly and constructive communication is said to have prevailed throughout the experiment. The crew spent time together, watching films in different languages, and used such recreational activities as an opportunity to discuss the films and interact socially.","The crew prepared surprises for birthdays, major state holidays, and informal holidays (on 31 October, they celebrated Halloween). Some crew members increased the time spent on individual activities, which did not hamper communication or interaction. No language, social, or cultural barriers were observed, and the mission commander exercised his authority as both a formal and informal leader.","Later in the experiment, the crew spent more time in bed or engaged in personal activity. The crew's overall activity levels plummeted in the first three months, and continued to fall for the next year. On their return journey, they spent 700 hours more in bed than on the outward journey. Four of the members suffered from sleep and psychological issues. One crew member slept very badly, suffered chronic sleep deprivation, and accounted for the majority of mistakes made on a computer test used to measure concentration and alertness"
,,,,HI-SEAS VI,Space analog,,,,,,
Kanas_2000_Interpersonal,https://pubmed.ncbi.nlm.nih.gov/10993303/,3rd quarter phenomenon,,,,,,,,,
Kanas_2001_Crewmember,https://pubmed.ncbi.nlm.nih.gov/11346012/,salutogenesis,,,,,,,,,
Kanas_2007_Crewmember,https://pubmed.ncbi.nlm.nih.gov/17571662/,groupthink,,,,,,,,,
,,gravitational effects unknown!,,,,,,,,,
,,!cetacean captivity akin to the boredom of long space flights,,,,,,,,,
,,asthenization,,,,,,,,,
Parkes_1998_Pyschosocial,https://www.jstor.org/stable/40966785,"psychosocial aspects of stress, health, and safety",Large,Offshore Northsea Installations,Oil Rig Type,,"Evidence suggests that the health, performance, and  sleep patterns of offshore shift workers are impaired relative to those of dayshift personnel; patterns of shift rotation are also important. Drill crews are exposed to particularly demanding conditions, usually working a 0000-1200 and 1200-2400 shift rotation pattern rather than the more favorable 0600-1800 and 1800-0600 schedule. Drilling is physically and mentally demanding, and often carried out in a noisy and cold en-vironment. In all these respects, the work situation of this occupational group could be improved, and would merit research attention. An analysis of 790 medical evacuations due to illness (based on 1976 - 1984 data from the UK sector) showed that the most frequent cause was disorders of the digestive system (about half of which were dental problems) (30%), followed by musculoskeletal (20%), respiratory (15%), nervous system (12%), mental, including stress related problems (5%), and cardiovascular (5%) problems; the remaining 13% was accounted for by a range of other disorders."," In recent years, the North Sea oil and gas industry has been exposed to widespread change, including organizational  restructuring, ""down-sizing"", and increased safety regulation. This article reviews the literature on psychosocial  stress, health, and safety among offshore personnel in the light of these developments. Few studies directly  compare onshore and offshore populations; the available data suggest that, relative to their onshore counterparts,  offshore personnel experience greater anxiety, more sleep problems, and higher work load. Within the offshore  population, objective factors (eg, size, age, type of installation, work patterns, and occupational differences),  subjective work perceptions, individual differences (age and personality), and health behavior, all play significant  roles in relation to health and safety outcomes.",,,
,,,,,HERA program,,,,,,
Mette_2017_Its,https://occup-med.biomedcentral.com/articles/10.1186/s12995-017-0179-0#Sec1,exploring offshore employee's working conditions,Small,Offshore wind platform,Offshore platform,42 personnel,"Forty-two semi-structured telephone interviews with German offshore employees (n = 21) and offshore
experts (n = 21) were conducted. Employees and experts were interviewed with regard to their perceptions of their working conditions offshore. In addition, employees were asked to identify areas with potential need for improvement. The interviews were analysed in a deductive-inductive process according to Mayring’s qualitative content analysis.  Employees and experts reported various demands of offshore work, including challenging physical labour,long shifts, inactive waiting times, and recurrent absences from home. In contrast, the high personal meaning of the work, regular work schedule (14 days offshore, 14 days onshore), and strong comradeship were highlighted as job resources. Interviewees’ working conditions varied considerably, e.g. regarding their work tasks and accommodations. Most of the job demands were perceived in terms of the work organization and living conditions offshore. Likewise, employees expressed the majority of needs for improvement in these areas.",,,"Results from other studies also support article's finding of good social relations between offshore colleagues. For example, many workers in the offshore oil and gas industry were found to describe their colleagues as their second family, and social support was identified as a job resource with positive effects on offshore oil and gas workers’ health. Interviewees put special emphasis on job demands concerning new forms of work. Identified demands regarding the offshore accommodations (e.g. confined cabins, lack of privacy) and limited opportunities for leisure activities are in line with findings and theoretical considerations for workers in the offshore wind and oil and gas industry. Furthermore, our result that suitable catering was particularly important to the workers in our study agrees with findings from the offshore oil and gas industry.",
Sullivan-Kwantes_2001_Human,https://libkey.io/libraries/220/articles/426277039/full-text-file?utm_source=api_1365,Frostbite; decrease in manual dexterity; slower physical movement (25-30%); lower load bearing capacity (50%); reduced cognitive function,Varied; different military unit sizes,Military Units,Extreme Cold,Military Units,Military measurements in extreme cold environments would potentially provide a good amount of quantitative data if we want to incorporate this into the model. Decreases in both physical and cognitive performance would directly affect lunar mission times and equipment requirements.,,,,
Marcinkowski_2021_TheNature,https://doi.org/10.1016/j.actaastro.2021.01.004,"""four types of conflict: (1) noted discords, (2) work disagreements, (3) interpersonal tensions, and (4) interpersonal breakdowns""",small,NASA HFBP-EM,HERA program,"13 males and 7 females, ranging in age from 29 to 56 years old (M = 39.40) from a variety of backgrounds including military, engineering, and medical","concept mapping of the types of conflicts experienced in the HERA program; "" teams in ICE settings may require a more nuanced understanding of conflict than traditional typologies have provided"", e.g. describes ICE environments as more closer mirroring marital, rather than workplace, relationships",,,,
Palinkas_2021_Psychosocial,https://doi.org/10.1016/j.neubiorev.2021.03.032,"""This paper reviews our current understanding of the individual, interpersonal and organizational issues related to living and working in isolated and confined extreme (ICE) environments.""",varies,varies (but ICE),varies,varies,"Very broad summary of issues that arise in ICE environments; ""Interpersonal issues include processes of crew cohesion, tension and conflict; interpersonal relations and social support; the impact of group diversity and leadership styles on small group dynamics; and crew-mission control interactions. Organizational issues include the influence of organizational culture and mission duration on individual and group performance, crew autonomy, and managerial requirements for long duration missions.""",,,,
Corneliussen_2017_individual,https://doi.org/10.3357/AMHP.4785.2017,"""Personality findings indicated a generally well-adjusted group, above average in positive personality traits [Conscientiousness T-score = 59.4 (11.41); Agreeableness T-score = 54.4 (9.36)] and boldness. Personal values of benevolence and self-direction were highly rated. The decision when to “pick sides” and intervene during disagreements between group members was viewed as an important component of conflict resolution. There were no changes in positive/negative affect or cognitive function over the annual light/dark cycle.""",small,one-year rotation on one of two Danish military bases on Greenland,isolated military base,10 males,"""The personal values of group members appear highly compatible for living in a small group ICE environment for an extended period. Disagreements between group members impact the functioning of the entire group, particularly in regard to decisions whether to support one of the individuals or let the argument run its course. Extended training in strategies for conflict resolution are needed in planning for future long duration missions to avoid fault lines forming within the group.""",,,,
DAntoine_2023_Psychosocial,https://doi.org/10.3390/safety9030056,"""The results of the analysis [offshore oil working enivronment] showed that multiple psychosocial stressors are present in this population, such as fear of speaking up, unsatisfactory company-provided facilities, work–life interference, work status, micromanaging, gender harassment and bullying. In addition, interviews identified that production and time pressures, along with fatigue, can influence accidents and mistakes. Climate factors also cause discomfort.""",small,"Perth, Austrialia offshore oil and gas platform","Remote work, 12 hour days with no days off while offshore, typically 7 to 14 days offshore",37 participants,"""Company-provided facilities such as accommodation, food and Internet were mentioned frequently by participants. Poor accommodation has wide-ranging negative effects, such as reduced quality of sleep and resulting fatigue and the inability to disengage from work. Fatigue is linked to decreased motivation, communication, attention and recall and reduces an individual’s ability to make decisions. Furthermore, there is an increase in the tendency to make errors and perform at a reduced level. Good quality food and sleep are considered to be one of the most important factors in work programs. Providing permanent accommodation alone would significantly help to improve mental health and wellbeing as sometimes the room that workers slept in was changed frequently during their time offshore.""
","""Communication between team members is vital for a collaborative work environment. However, speaking up about workplace issues can negatively impact interpersonal communication and connectivity...Because production and cost pressures are sometimes prioritized, concerns regarding potential accidents increase. Moreover, fatigue can result in a decline in attention, particularly where there are shift rotations. A lack of trust between team members and supervisors is linked to poor interpersonal behaviors and poor communication about safety, decreasing the chance that existing organizational flaws, which may contribute to accidents, can be identified.""
",,,
Connaboy_2020_Cognitive,https://drive.google.com/file/d/1D5R1T9weQmbGrwT8E-PZsWYaPM4nF36A/view,"Individual performance during isolated, confined, and extreme environments is known to negatively impact performand in the short term. This paper reports that in the long term (5 months of ""wintering over"" in Antartica) performance marginally affected or improoved over the 5-month exposure.",small,Five month period of testing monthly for participants in coastal and inland Antartic stations. ,,"Mixed gender, 110 people, ages 26-46, assigned to either Coastal or Inland stations during consecutive Antartic winder seasons.","Took the Spaceflight Cognitive Assessment Tool for Windows (WinSCAT; ver 2.1), the Mental Health Check (MHCL), and the Perception-Action Coupling Task (PACT). Regression analysis showed significant improvement in WinSCAT Composite score, PACT Accuracy, PACT Lapses, and MHCL Positive Adaption from first month to fifth month.  Many not be indicative of long term flight, but supports Moon settlement.",Many people but over a relatively short time.,,,
Basner_2014_Psychological,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0093298,"The authors report on behavioral and psychological reactions of a multinational crew of 6 healthy males confined in a 550 m3 chamber for 520 days during the first Earth-based, high-fidelity simulated mission to Mars.",6 males,17 months in approx 25 ft cube.,,6 males,"Weekly took Beck Depression Inventory-II (BDI-II), Profile of Moods State short form (POMS), conflict questionnaire, Psycomotor Vigilance Test (PVT-8), and a series of visual analogue scales on stress and fatigue. Conflicts with Mission Control occured 5 times more than with crewmembers. Sleep/insomnia problems for 2 crewmembers.",Participants' performance improved over the long term.,,,
Alam_2023_Climate,https://link.springer.com/book/10.1007/978-3-031-28251-5,"Farming societies in a coastal state of West Bengal in India are forced to adapt there farming practices to adapt to decreasing crop yields due to extreme heat. The authors found a general trend toward crop diversification, and a move toward higher value crops.",families,"small land holdings, drying vegetation, lower crop yields due to high temperature and drought",Extreme heat,farming communities,The authors cite the importance of technology and insurance coverage in helping villagers adapt to the new harsh environment.,,,,
Kang_2019_Future,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019GL083686,"Temperatures for pilgrims on the Hajj are projected to exceed 29.1 degrees C wet bulb, above the extreme danger threshold, during 3 periods  before 2100. The authors stress the need for adaptation strategies.",individuals,"2 to 3 million pilgrims, disproportionately elderly, particliate in the Hajj each year for 2 to 3 weeks in Mecca, Saudi Arabia (desert). Roughly 20-30 hours are spent outdoors  over 5 days.",Extreme heat,religous pilgrims,"Past high heat stress events are cited to infer what might happen with future extreme heat. In 1990 almost 1,500 pilgrims were killed in a stampede when heat passed the heat threshold.",,,,
Ocobock_2023_Anatomical,Human Bodies in Extreme Environments | Annual Review of Anthropology (annualreviews.org),"Adaptation, Acclimatization, Acclimation, Adaptability, Thermoregulation ",Small to Large groups. They cite numerous studies. ,"""Hot, Cold, High Altitude""","""Hot, Cold, and High Altitude"" ",Various,""" The history of studying humans in extreme conditions leaves us with a deep record to guide future research among populations in hot, cold, and high-altitude environments. This research is critically necessary, especially now in the face of climate change. As we become more aware of the biological signatures of climate change and historical trauma, we need to interrogate the significance of biological normalcy in inter- and intrapopulational comparative studies and better appreciate how human populations have adapted, acclimatized, and demonstrated resilience to their local conditions. The biological and cultural ways that these extreme-environment populations have adapted to survive and thrive in harsh conditions are incredibly informative as we explore new means to cope with a warming and increasingly unpredictable global climate. These efforts will not only give us a stronger grasp of human variation and biocultural flexibility, but also help build a tool kit that we will need to rely on as we learn to navigate our rapidly changing world.""",,,,
Smith_2017_Values,Examining personal values in extreme environment contexts: Revisiting the question of generalizability - ScienceDirect,,"Four populations:mountaineers, military personnel, Antarctic over-winterers and Mars simulation participants.","""Landbased"" Cold, mountainous, Mars (simulated) ",Varies,Team based,"""The aim of the present work was to examine the extent to which personal values, as defined by Schwartz , could be generalized between four different extreme environment groups. Although personal values have been studied in previous extreme environment work, there has been little attempt to compare values across extreme settings. Identifying similarities and differences between groups operating in different EUE and ICE environments may inform on the possibility to apply psychological results""",,,,
Leach_2016_Psychological,"Psychological factors in exceptional, extreme and torturous environments | Extreme Physiology & Medicine | Full Text (biomedcentral.com)",Goal directed behavior ,Varies,"""polar base, space station, submarine, prison, intensive care unit, isolation ward etc""","Cold, Isolation","cultural stress, psychosocial factors",,,,,
Chen_2009_Mental,https://academic.oup.com/occmed/article/59/8/545/1369850,"Association of mental health with occupational stress, coping styles and their interaction
among Chinese offshore oil platform workers",561 Chinese offshore oil platform workers,Offshore oil platform,Oil Rig Type,,"""Offshore oil platform work is widely regarded as a stressful occupation, and its workers are exposed to boththe stressors of onshore work and those relevant to the offshore workplace. The physical stressors include noise, vibration, poor lighting and ventilation, confined living and working space, adverse offshore weather conditions, long working hours and shift work. The psychosocial stressors cover job characteristics (workload, variety, clarity and control), perceived risk (e.g. fire, explosion, blow out and travelling by helicopter or ships), job insecurity, work–family interface and lack of certain  types and sources of social support.""","""A number of studies have proved that occupational stress is an important risk factor for mental illness in a wide range of occupations. Two studies by Cooper and Sutherland  found that the occupational stress was significantly and negatively related to the mental health of offshore oil workers in the North Sea of the UK sectors, while Parkes’s study revealed that anxiety was higher in offshore workers than onshore workers. Consistent results were also observed in this study. All these results indicate that occupational stress from offshore oil work might produce a negative impact on the mental health of employees; therefore, it is necessary to try to decrease and eliminate stressors in offshore oil production""",,,
