doc_index,paper_id,filename,bertopic_topic_id,bertopic_label,in_validation_subset
0,Alam_2023_Climate,Alam_2023_Climate_output.txt,2,2_climate_change_temperature_agricultural,True
1,Anderson-2018-Combining,Anderson-2018-Combining_output.txt,1,1_team_agent_model_desert,False
2,BARRICELLI_2019_Survey,BARRICELLI_2019_Survey_output.txt,1,1_team_agent_model_desert,False
3,Balke-2013-Coordination,Balke-2013-Coordination_output.txt,1,1_team_agent_model_desert,False
4,Barratt_2019_psychological,Barratt_2019_psychological_output.txt,0,0_space_mission_crew_team,True
5,Basner_2014_Psychological,Basner_2014_Psychological_output.txt,0,0_space_mission_crew_team,True
6,Bishop_2009_FMARS,Bishop_2009_FMARS_output.txt,0,0_space_mission_crew_team,True
7,BlancoFernandez-2023-Effects,BlancoFernandez-2023-Effects_output.txt,1,1_team_agent_model_desert,False
8,BlancoFernandez-2023-Interactions,BlancoFernandez-2023-Interactions_output.txt,1,1_team_agent_model_desert,False
9,BlancoFernandez-2024-Interactions,BlancoFernandez-2024-Interactions_output.txt,1,1_team_agent_model_desert,False
10,Boroomand-2021-Hard,Boroomand-2021-Hard_output.txt,1,1_team_agent_model_desert,False
11,Boyd_2009_Cultural,Boyd_2009_Cultural_output.txt,0,0_space_mission_crew_team,True
12,Bradbury_2002_Utter,Bradbury_2002_Utter_output.txt,1,1_team_agent_model_desert,True
13,Bray_2023_Beyond,Bray_2023_Beyond_output.txt,2,2_climate_change_temperature_agricultural,False
14,Burles_2023_psychological,Burles_2023_psychological_output.txt,0,0_space_mission_crew_team,True
15,Burtscher_2018_Extreme,Burtscher_2018_Extreme_output.txt,3,3_cold_exposure_performance_temperature,True
16,Bzdok_2022_Social,Bzdok_2022_Social_output.txt,1,1_team_agent_model_desert,True
17,Cao-2022-Group,Cao-2022-Group_output.txt,1,1_team_agent_model_desert,False
18,Ch11_Survival_Analysis,Ch11_Survival_Analysis_output.txt,1,1_team_agent_model_desert,False
19,Chen_2009_Mental,Chen_2009_Mental_output.txt,4,4_offshore_work_health_worker,True
20,Connaboy_2020_Cognitive,Connaboy_2020_Cognitive_output.txt,0,0_space_mission_crew_team,True
21,Corneliussen_2017_individual,Corneliussen_2017_individual_output.txt,0,0_space_mission_crew_team,True
22,DAntoine_2023_Psychosocial,DAntoine_2023_Psychosocial_output.txt,4,4_offshore_work_health_worker,True
23,Doyoe_2016_Resilience,Doyoe_2016_Resilience_output.txt,4,4_offshore_work_health_worker,False
24,Du_2021_Mapping,Du_2021_Mapping_output.txt,0,0_space_mission_crew_team,True
25,Dunbar_2010_Bondedness,Dunbar_2010_Bondedness_output.txt,1,1_team_agent_model_desert,True
26,Duncan-2019-AgentBased,Duncan-2019-AgentBased_output.txt,1,1_team_agent_model_desert,False
27,Ehmann_2018_Emotionality,Ehmann_2018_Emotionality_output.txt,0,0_space_mission_crew_team,True
28,Ellinas-2017-Dynamics,Ellinas-2017-Dynamics_output.txt,1,1_team_agent_model_desert,False
29,Esmaeilzadeh-2019-SoS,Esmaeilzadeh-2019-SoS_output.txt,1,1_team_agent_model_desert,False
30,Estes-2023-Investigating,Estes-2023-Investigating_output.txt,1,1_team_agent_model_desert,False
31,Fiske_2004_Four,Fiske_2004_Four_output.txt,0,0_space_mission_crew_team,True
32,Fitzgibbons_2004_Pilot,Fitzgibbons_2004_Pilot_output.txt,0,0_space_mission_crew_team,True
33,Gatterer_2021_Practicing,Gatterer_2021_Practicing_output.txt,3,3_cold_exposure_performance_temperature,True
34,Goemaere_2018_Psychological,Goemaere_2018_Psychological_output.txt,0,0_space_mission_crew_team,True
35,Guly_2012_Psychology,Guly_2012_Psychology_output.txt,0,0_space_mission_crew_team,True
36,Guo-2012-Using,Guo-2012-Using_output.txt,1,1_team_agent_model_desert,False
37,Guyer_2021_Identifying,Guyer_2021_Identifying_output.txt,2,2_climate_change_temperature_agricultural,False
38,Harlan_2014_Heat,Harlan_2014_Heat_output.txt,2,2_climate_change_temperature_agricultural,False
39,Hart_1988_psychological,Hart_1988_psychological_output.txt,0,0_space_mission_crew_team,True
40,Hart_2006_psychological,Hart_2006_psychological_output.txt,0,0_space_mission_crew_team,True
41,Hawkes_2019_Mood,Hawkes_2019_Mood_output.txt,0,0_space_mission_crew_team,True
42,Ishak_2018_Organizational,Ishak_2018_Organizational_output.txt,1,1_team_agent_model_desert,False
43,Iswara-2023-Assessing,Iswara-2023-Assessing_output.txt,1,1_team_agent_model_desert,False
44,Johnson_2006_TheActive,Johnson_2006_TheActive_output.txt,0,0_space_mission_crew_team,False
45,Jones_2022_Psychological,Jones_2022_Psychological_output.txt,0,0_space_mission_crew_team,True
46,Kang_2019_Future,Kang_2019_Future_output.txt,2,2_climate_change_temperature_agricultural,True
47,Kimhi_2011_Understanding,Kimhi_2011_Understanding_output.txt,0,0_space_mission_crew_team,False
48,Kitchin-2015-Comparison,Kitchin-2015-Comparison_output.txt,1,1_team_agent_model_desert,False
49,Komurcu_2020_MidCentury,Komurcu_2020_MidCentury_output.txt,2,2_climate_change_temperature_agricultural,False
50,Landon_2024_GroupLiving,Landon_2024_GroupLiving_output.txt,0,0_space_mission_crew_team,True
51,Landon_2024_psychological_1,Landon_2024_psychological_1_output.txt,0,0_space_mission_crew_team,True
52,Landon_2024_psychological_2,Landon_2024_psychological_2_output.txt,0,0_space_mission_crew_team,True
53,Leach_2016_Psychological,Leach_2016_Psychological_output.txt,0,0_space_mission_crew_team,False
54,Liakos_2020_NELIOTA,Liakos_2020_NELIOTA_output.txt,1,1_team_agent_model_desert,True
55,Lim-2019-All,Lim-2019-All_output.txt,1,1_team_agent_model_desert,False
56,Lim-2023-Kill,Lim-2023-Kill_output.txt,1,1_team_agent_model_desert,False
57,Lorscheid-2020-Irrationality,Lorscheid-2020-Irrationality_output.txt,1,1_team_agent_model_desert,False
